epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.21875,1.9546189308166504,,
0,99,0.328125,1.7670934200286865,,
0,149,0.3125,1.7518811225891113,,
0,199,0.390625,1.6695305109024048,,
0,249,0.5,1.5919846296310425,,
0,299,0.515625,1.4703482389450073,,
0,349,0.375,1.538225531578064,,
0,399,0.421875,1.5710057020187378,,
0,449,0.5,1.5031183958053589,,
0,499,0.421875,1.5086036920547485,,
0,549,0.515625,1.5881798267364502,,
0,599,0.578125,1.1792789697647095,,
0,649,0.4375,1.4491084814071655,,
0,699,0.484375,1.333653211593628,,
0,749,0.546875,1.1364660263061523,,
0,781,,,0.531000018119812,1.2844445705413818
1,799,0.5,1.2927511930465698,,
1,849,0.625,1.1239813566207886,,
1,899,0.546875,1.2840547561645508,,
1,949,0.4375,1.391761302947998,,
1,999,0.5625,1.1110697984695435,,
1,1049,0.53125,1.312738060951233,,
1,1099,0.578125,1.1292282342910767,,
1,1149,0.59375,1.026440978050232,,
1,1199,0.625,1.1393557786941528,,
1,1249,0.59375,1.0353410243988037,,
1,1299,0.515625,1.2208963632583618,,
1,1349,0.546875,1.1871846914291382,,
1,1399,0.5625,1.147169589996338,,
1,1449,0.546875,1.237423300743103,,
1,1499,0.546875,1.3490159511566162,,
1,1549,0.53125,1.360355019569397,,
1,1563,,,0.5958999991416931,1.1309797763824463
2,1599,0.625,1.0722969770431519,,
2,1649,0.5,1.309232234954834,,
2,1699,0.625,1.0633655786514282,,
2,1749,0.546875,1.1801228523254395,,
2,1799,0.6875,1.1033066511154175,,
2,1849,0.640625,1.1735379695892334,,
2,1899,0.546875,1.2719097137451172,,
2,1949,0.5625,1.1257681846618652,,
2,1999,0.609375,1.0522793531417847,,
2,2049,0.46875,1.3219795227050781,,
2,2099,0.546875,1.278165578842163,,
2,2149,0.625,1.0060025453567505,,
2,2199,0.53125,1.236484408378601,,
2,2249,0.65625,1.0250120162963867,,
2,2299,0.703125,0.9449123740196228,,
2,2345,,,0.6805999875068665,0.8961809277534485
3,2349,0.609375,1.0961154699325562,,
3,2399,0.78125,0.7562137246131897,,
3,2449,0.78125,0.7087789177894592,,
3,2499,0.734375,0.8385175466537476,,
3,2549,0.609375,1.0415228605270386,,
3,2599,0.625,1.0511093139648438,,
3,2649,0.75,0.879438042640686,,
3,2699,0.609375,1.0007188320159912,,
3,2749,0.65625,1.0873626470565796,,
3,2799,0.75,0.8697025179862976,,
3,2849,0.78125,0.7073412537574768,,
3,2899,0.625,0.9938292503356934,,
3,2949,0.671875,0.8673079013824463,,
3,2999,0.75,0.9067438840866089,,
3,3049,0.71875,0.7540825605392456,,
3,3099,0.6875,0.9329163432121277,,
3,3127,,,0.7148000001907349,0.8104807138442993
4,3149,0.59375,0.9663213491439819,,
4,3199,0.65625,1.0685228109359741,,
4,3249,0.6875,1.0062220096588135,,
4,3299,0.734375,0.906816840171814,,
4,3349,0.6875,0.9456515312194824,,
4,3399,0.640625,0.9088583588600159,,
4,3449,0.6875,0.7578467130661011,,
4,3499,0.671875,0.9703296422958374,,
4,3549,0.671875,0.9861286878585815,,
4,3599,0.71875,0.7104257941246033,,
